1861809,American Pie 2 (2001),155492,6.4
1861840,American Psycho (2000),254707,7.6
1861865,American Reunion (2012),133205,6.8
1861952,American Splendor (2003),36793,7.6
1862055,American Wedding (2003),125763,6.2
1862410,Amistad (1997),44390,7.2
1863170,Amores perros (2000),127308,8.2
1863243,Amour (2012),48672,7.8
1863714,An Affair to Remember (1957),17322,7.6
1863844,An American Crime (2007),19867,7.4
1863860,An American Haunting (2005),19589,5.0
1863919,An American Tail (1986),28167,6.9
1863920,An American Tail: Fievel Goes West (1991),12294,6.3
1863930,An American Werewolf in London (1981),47766,7.6
1863933,An American Werewolf in Paris (1997),16237,5.1
1863870,An American in Paris (1951),16520,7.3
1864240,An Education (2009),90988,7.3
1864695,An Ideal Husband (1999),11003,6.9
1864761,An Inconvenient Truth (2006),54697,7.6
1865073,An Officer and a Gentleman (1982),30854,6.9
1865288,An Unfinished Life (2005),19292,7.1
1865582,Anaconda (1997),57069,4.5
1865591,Anacondas: The Hunt for the Blood Orchid (2004),17318,4.5
1866641,Analyze That (2002),55746,5.8
1866643,Analyze This (1999),102114,6.7
1866830,Anastasia (1997),57592,7.0
1866966,Anatomy of a Murder (1959),34293,8.1
1867143,Anchorman 2: The Legend Continues (2013),31233,7.1
1867147,Anchorman: The Legend of Ron Burgundy (2004),189682,7.3
1867342,And Now for Something Completely Different (1971),18214,7.6
1867388,And Soon the Darkness (2010),10769,5.2
1867663,Andaz Apna Apna (1994),14894,8.7
1867982,Andrey Rublev (1966),17939,8.3
1868781,Angel Eyes (2001),17328,5.6
1868803,Angel Heart (1987),49554,7.4
1868990,Angel-A (2005),20000,7.1
1869022,Angela's Ashes (1999),14416,7.2
1869190,Angels & Demons (2009),152521,6.7
1869264,Angels in the Outfield (1994),16794,5.9
1869309,Angels with Dirty Faces (1938),13017,8.0
1869355,Anger Management (2003),138571,6.2
1869607,"Angus, Thongs and Perfect Snogging (2008)",13983,6.4
1869860,Animal House (1978),73331,7.7
1869879,Animal Kingdom (2010),35010,7.3
1870674,Anna Karenina (2012),46446,6.6
1870595,Anna and the King (1999),26588,6.7
1870874,Annapolis (2006),15256,5.7
1871045,Annie (1982),21018,6.4
1871076,Annie Hall (1977),134909,8.2
1871410,Anonymous (2011),28206,6.9
1871453,Another 48 Hrs. (1990),22534,5.7
1871550,Another Earth (2011),45692,7.0
1871772,Another Year (2010),19006,7.3
1872283,Antichrist (2009),61109,6.6
1872442,Antitrust (2001),23044,6.1
1872672,Antwone Fisher (2002),21691,7.3
1872679,Antz (1998),96344,6.6
1872805,Anvil: The Story of Anvil (2008),11171,8.0
1872847,Any Given Sunday (1999),83353,6.8
1872983,Anything Else (2003),20773,6.4
1873052,Anywhere But Here (1999),12768,6.1
1873733,Apocalypse Now (1979),325840,8.5
1873771,Apocalypto (2006),189979,7.8
1873830,Apollo 13 (1995),162016,7.6
1873840,Apollo 18 (2011),38723,5.2
1874023,Appaloosa (2008),42703,6.8
1874370,Appurushîdo (2004),12876,7.0
1874614,Apt Pupil (1998),24607,6.7
1874719,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),11291,7.0
1874747,Aquamarine (2006),21464,5.1
1875120,Arachnophobia (1990),39850,6.3
1875369,Arbitrage (2012),30695,6.7
1875793,Are We Done Yet? (2007),12205,3.8
1875809,Are We There Yet? (2005),16907,4.4
1876131,Argo (2012),293229,7.9
1876431,Arizona Dream (1992),28172,7.4
1876581,Arlington Road (1999),60790,7.2
1876638,Armageddon (1998),248591,6.6
1876834,Armored (2009),22543,5.7
1876949,Army of Darkness (1992),99426,7.6
1876995,Arn: Tempelriddaren (2007),14440,6.6
1877177,Around the World in 80 Days (2004),52492,5.8
1877184,Around the World in Eighty Days (1956),13013,6.8
1877753,Arsenic and Old Lace (1944),46790,8.1
1878006,Art School Confidential (2006),13398,6.3
1878204,Arthur (1981),18189,6.8
1878209,Arthur (2011),38788,5.8
1878237,Arthur Christmas (2011),24808,7.1
1878244,Arthur et les Minimoys (2006),19837,6.0
1878366,Artificial Intelligence: AI (2001),186777,7.1
1878977,As Good as It Gets (1997),185742,7.8
1881335,Assassination Games (2011),10625,6.2
1881337,Assassination of a High School President (2008),12091,6.4
1881353,Assassins (1995),48560,6.2
1881398,Assault on Precinct 13 (1976),23717,7.4
1881399,Assault on Precinct 13 (2005),57956,6.3
1881403,Assault on Wall Street (2013),10309,6.1
1881942,Astro Boy (2009),19612,6.4
1882034,Astérix & Obélix: Mission Cléopâtre (2002),28597,6.6
1882036,Astérix aux jeux olympiques (2008),15215,5.0
1882042,Astérix et Obélix contre César (1999),23792,5.8
1883285,Atlantis: The Lost Empire (2001),47881,6.7
1883504,Atonement (2007),149309,7.8
1883838,Attack the Block (2011),64597,6.6
1884374,Au revoir les enfants (1987),18658,8.1
1884739,Auf der anderen Seite (2007),21439,7.9
